Province,Occupation,Year,_1st_quatile,_2nd_quatile,_3rd_quatile,_4th_quatile,Total
Newfoundland and Labrador,2171 - Information systems analysts and consultants,2018,3,3,3,0,10
Newfoundland and Labrador,2172 - Database analysts and data administrators,2018,0,0,0,0,0
Newfoundland and Labrador,2173 - Software engineers and designers,2018,3,3,3,3,5
Newfoundland and Labrador,2174 - Computer programmers and interactive media developers,2018,3,3,0,3,10
Newfoundland and Labrador,2175 - Web designers and developers,2018,3,0,0,0,3
Newfoundland and Labrador,2281 - Computer network technicians,2018,0,0,0,0,0
Newfoundland and Labrador,2282 - User support technicians,2018,0,0,0,0,0
Newfoundland and Labrador,2283 - Information systems testing technicians,2018,3,0,0,0,3
Newfoundland and Labrador,2171 - Information systems analysts and consultants,2019,3,3,3,0,5
Newfoundland and Labrador,2172 - Database analysts and data administrators,2019,0,0,0,0,0
Newfoundland and Labrador,2173 - Software engineers and designers,2019,3,0,3,3,5
Newfoundland and Labrador,2174 - Computer programmers and interactive media developers,2019,0,3,3,3,10
Newfoundland and Labrador,2175 - Web designers and developers,2019,0,3,0,0,3
Newfoundland and Labrador,2281 - Computer network technicians,2019,0,0,0,0,0
Newfoundland and Labrador,2282 - User support technicians,2019,0,0,0,0,0
Newfoundland and Labrador,2283 - Information systems testing technicians,2019,0,0,0,0,0
Newfoundland and Labrador,2171 - Information systems analysts and consultants,2020,3,0,0,3,3
Newfoundland and Labrador,2172 - Database analysts and data administrators,2020,0,0,0,0,0
Newfoundland and Labrador,2173 - Software engineers and designers,2020,0,3,3,0,3
Newfoundland and Labrador,2174 - Computer programmers and interactive media developers,2020,3,3,3,3,10
Newfoundland and Labrador,2175 - Web designers and developers,2020,0,0,0,3,3
Newfoundland and Labrador,2281 - Computer network technicians,2020,0,0,0,0,0
Newfoundland and Labrador,2282 - User support technicians,2020,0,0,0,0,0
Newfoundland and Labrador,2283 - Information systems testing technicians,2020,0,0,0,0,0
Newfoundland and Labrador,2171 - Information systems analysts and consultants,2021,3,0,3,0,3
Newfoundland and Labrador,2172 - Database analysts and data administrators,2021,0,0,0,0,0
Newfoundland and Labrador,2173 - Software engineers and designers,2021,0,0,3,3,3
Newfoundland and Labrador,2174 - Computer programmers and interactive media developers,2021,3,3,3,3,10
Newfoundland and Labrador,2175 - Web designers and developers,2021,0,0,3,0,3
Newfoundland and Labrador,2281 - Computer network technicians,2021,0,0,0,0,0
Newfoundland and Labrador,2282 - User support technicians,2021,0,0,3,0,3
Newfoundland and Labrador,2283 - Information systems testing technicians,2021,0,0,0,0,0
Newfoundland and Labrador,2171 - Information systems analysts and consultants,2022,3,3,3,0,3
Newfoundland and Labrador,2172 - Database analysts and data administrators,2022,0,0,0,0,0
Newfoundland and Labrador,2173 - Software engineers and designers,2022,3,0,0,3,3
Newfoundland and Labrador,2174 - Computer programmers and interactive media developers,2022,3,3,3,3,10
Newfoundland and Labrador,2175 - Web designers and developers,2022,0,0,3,0,3
